species	taxa1	n	n_box	pct	null_pct
mrhisin	Mammalia	2000	720	36.0	0.05
lpdigsang	Monocots	2000	1	0.05	0.0
qelepcurv	Arthropoda	2000	0	0.0	0.0
ioisceleg	Odonata	2000	0	0.0	0.0
ieclodipt	Ephemeroptera	2000	0	0.0	0.0
qeorcflav	Arthropoda	2000	0	0.0	0.0
qeallfusc	Arthropoda	2000	0	0.0	0.0
iesipalte	Ephemeroptera	2000	0	0.0	0.0
ihaelacum	Hemiptera	2000	0	0.0	0.0
ihicepurc	Hemiptera	2000	0	0.0	0.0
iuloevari	Psocodea	2000	0	0.0	0.05
iupsogibb	Psocodea	2000	0	0.0	0.0
iglabmino	Dermaptera	2000	0	0.0	0.0
ieecdtorr	Ephemeroptera	2000	0	0.0	0.0
ieprobifi	Ephemeroptera	2000	0	0.0	0.0
ipnemdubi	Plecoptera	2000	0	0.0	0.0
iymacalbo	Hymenoptera	2000	0	0.0	0.0
iyathrosa	Hymenoptera	2000	0	0.0	0.0
iyabicand	Hymenoptera	2000	0	0.0	0.05
iynyspin	NA	2000	0	0.0	0.0
iyectcont	Hymenoptera	2000	0	0.0	0.0
iyanddors	Hymenoptera	1519	0	0.0	0.06583278472679395
iylasvill	Hymenoptera	2000	0	0.0	0.0
iyseltumu	Hymenoptera	2000	0	0.0	0.0
iycoeconi	Hymenoptera	2000	0	0.0	0.0
iystephae	Hymenoptera	2000	0	0.0	0.0
iybomhypn	Hymenoptera	2000	0	0.0	0.0
iynomfabr	Hymenoptera	2000	0	0.0	0.0
iymaceuro	Hymenoptera	2000	0	0.0	0.0
iymimdahl	Hymenoptera	2000	0	0.0	0.0
iypemlugu	Hymenoptera	2000	0	0.0	0.15
iytipfemo	Hymenoptera	2000	0	0.0	0.0
iypripert	Hymenoptera	2000	0	0.0	0.0
iyanonige	Hymenoptera	2000	0	0.0	0.0
iyvesvulg	Hymenoptera	1241	0	0.0	0.0
iyapainim	Hymenoptera	2000	0	0.0	0.0
iyvulbima	Hymenoptera	2000	0	0.0	0.0
iyarmarma	NA	2000	0	0.0	0.0
iyophlute	Hymenoptera	2000	0	0.0	0.0
inchrcarn	Neuroptera	2000	0	0.0	0.0
icptemadi	Coleoptera	2000	0	0.0	0.0
icagofuli	Coleoptera	2000	0	0.0	0.0
icnebbrev	Coleoptera	2000	0	0.0	0.0
icnebsali	Coleoptera	2000	0	0.0	0.0
iccarprob	Coleoptera	2000	0	0.0	0.0
ibectpall	Blattodea	2000	0	0.0	0.0
ipisogram	Plecoptera	2000	0	0.0	0.0
icquelate	Coleoptera	2000	0	0.0	0.0
icocyolen	Coleoptera	2000	0	0.0	0.0
icsilatra	Coleoptera	2000	0	0.0	0.0
icnicinve	Coleoptera	2000	0	0.0	0.0
icchroric	Coleoptera	2000	0	0.0	0.0
iclepmacu	Coleoptera	2000	0	0.0	0.0
icscaquad	Coleoptera	2000	0	0.0	0.0
iccetaura	Coleoptera	2000	0	0.0	0.0
icadabipu	Coleoptera	2000	0	0.0	0.0
iccocsept	Coleoptera	2000	0	0.0	0.0
icharaxyr	Coleoptera	2000	0	0.0	0.0
ichalsede	Coleoptera	2000	0	0.0	0.0
icmalbipu	Coleoptera	2000	0	0.0	0.0
icrhafulv	Coleoptera	2000	0	0.0	0.0
icpolcerv	Coleoptera	2000	0	0.0	0.0
icapocory	Coleoptera	2000	0	0.0	0.0
idbibmarc	Diptera	2000	0	0.0	0.0
idacrorbc	Diptera	2000	0	0.0	0.0
idathibis	Diptera	2000	0	0.0	0.0
idantanth	Diptera	2000	0	0.0	0.0
idbomdisc	Diptera	2000	0	0.0	0.0
idmacatri	Diptera	2000	0	0.0	0.0
idclutigr	Diptera	2000	0	0.0	0.0
